purchase_order_id,supplier_id,product_id,quantity,status
PO0000001,S0001,P00001,10,Created
PO0000002,S0002,P00002,11,Approved
PO0000003,S0003,P00003,12,Received
PO0000004,S0004,P00004,13,Cancelled
PO0000005,S0005,P00005,14,Created
PO0000006,S0006,P00006,15,Approved
PO0000007,S0007,P00007,16,Received
PO0000008,S0008,P00008,17,Cancelled
PO0000009,S0009,P00009,18,Created
PO0000010,S0010,P00010,19,Approved
PO0000011,S0011,P00011,20,Received
PO0000012,S0012,P00012,21,Cancelled
PO0000013,S0013,P00013,22,Created
PO0000014,S0014,P00014,23,Approved
PO0000015,S0015,P00015,24,Received
PO0000016,S0016,P00016,25,Cancelled
PO0000017,S0017,P00017,26,Created
PO0000018,S0018,P00018,27,Approved
PO0000019,S0019,P00019,28,Received
PO0000020,S0020,P00020,29,Cancelled
PO0000021,S0021,P00021,30,Created
PO0000022,S0022,P00022,31,Approved
PO0000023,S0023,P00023,32,Received
PO0000024,S0024,P00024,33,Cancelled
PO0000025,S0025,P00025,34,Created
PO0000026,S0026,P00026,35,Approved
PO0000027,S0027,P00027,36,Received
PO0000028,S0028,P00028,37,Cancelled
PO0000029,S0029,P00029,38,Created
PO0000030,S0030,P00030,39,Approved
PO0000031,S0031,P00031,40,Received
PO0000032,S0032,P00032,41,Cancelled
PO0000033,S0033,P00033,42,Created
PO0000034,S0034,P00034,43,Approved
PO0000035,S0035,P00035,44,Received
PO0000036,S0036,P00036,45,Cancelled
PO0000037,S0037,P00037,46,Created
PO0000038,S0038,P00038,47,Approved
PO0000039,S0039,P00039,48,Received
PO0000040,S0040,P00040,49,Cancelled
PO0000041,S0041,P00041,50,Created
PO0000042,S0042,P00042,51,Approved
PO0000043,S0043,P00043,52,Received
PO0000044,S0044,P00044,53,Cancelled
PO0000045,S0045,P00045,54,Created
PO0000046,S0046,P00046,55,Approved
PO0000047,S0047,P00047,56,Received
PO0000048,S0048,P00048,57,Cancelled
PO0000049,S0049,P00049,58,Created
PO0000050,S0050,P00050,59,Approved
PO0000051,S0051,P00051,60,Received
PO0000052,S0052,P00052,61,Cancelled
PO0000053,S0053,P00053,62,Created
PO0000054,S0054,P00054,63,Approved
PO0000055,S0055,P00055,64,Received
PO0000056,S0056,P00056,65,Cancelled
PO0000057,S0057,P00057,66,Created
PO0000058,S0058,P00058,67,Approved
PO0000059,S0059,P00059,68,Received
PO0000060,S0060,P00060,69,Cancelled
PO0000061,S0061,P00061,70,Created
PO0000062,S0062,P00062,71,Approved
PO0000063,S0063,P00063,72,Received
PO0000064,S0064,P00064,73,Cancelled
PO0000065,S0065,P00065,74,Created
PO0000066,S0066,P00066,75,Approved
PO0000067,S0067,P00067,76,Received
PO0000068,S0068,P00068,77,Cancelled
PO0000069,S0069,P00069,78,Created
PO0000070,S0070,P00070,79,Approved
PO0000071,S0071,P00071,80,Received
PO0000072,S0072,P00072,81,Cancelled
PO0000073,S0073,P00073,82,Created
PO0000074,S0074,P00074,83,Approved
PO0000075,S0075,P00075,84,Received
PO0000076,S0076,P00076,85,Cancelled
PO0000077,S0077,P00077,86,Created
PO0000078,S0078,P00078,87,Approved
PO0000079,S0079,P00079,88,Received
PO0000080,S0080,P00080,89,Cancelled
PO0000081,S0081,P00081,90,Created
PO0000082,S0082,P00082,91,Approved
PO0000083,S0083,P00083,92,Received
PO0000084,S0084,P00084,93,Cancelled
PO0000085,S0085,P00085,94,Created
PO0000086,S0086,P00086,95,Approved
PO0000087,S0087,P00087,96,Received
PO0000088,S0088,P00088,97,Cancelled
PO0000089,S0089,P00089,98,Created
PO0000090,S0090,P00090,99,Approved
PO0000091,S0091,P00091,100,Received
PO0000092,S0092,P00092,101,Cancelled
PO0000093,S0093,P00093,102,Created
PO0000094,S0094,P00094,103,Approved
PO0000095,S0095,P00095,104,Received
PO0000096,S0096,P00096,105,Cancelled
PO0000097,S0097,P00097,106,Created
PO0000098,S0098,P00098,107,Approved
PO0000099,S0099,P00099,108,Received
PO0000100,S0100,P00100,109,Cancelled
PO0000101,S0001,P00101,110,Created
PO0000102,S0002,P00102,111,Approved
PO0000103,S0003,P00103,112,Received
PO0000104,S0004,P00104,113,Cancelled
PO0000105,S0005,P00105,114,Created
PO0000106,S0006,P00106,115,Approved
PO0000107,S0007,P00107,116,Received
PO0000108,S0008,P00108,117,Cancelled
PO0000109,S0009,P00109,118,Created
PO0000110,S0010,P00110,119,Approved
PO0000111,S0011,P00111,120,Received
PO0000112,S0012,P00112,121,Cancelled
PO0000113,S0013,P00113,122,Created
PO0000114,S0014,P00114,123,Approved
PO0000115,S0015,P00115,124,Received
PO0000116,S0016,P00116,125,Cancelled
PO0000117,S0017,P00117,126,Created
PO0000118,S0018,P00118,127,Approved
PO0000119,S0019,P00119,128,Received
PO0000120,S0020,P00120,129,Cancelled
PO0000121,S0021,P00121,130,Created
PO0000122,S0022,P00122,131,Approved
PO0000123,S0023,P00123,132,Received
PO0000124,S0024,P00124,133,Cancelled
PO0000125,S0025,P00125,134,Created
PO0000126,S0026,P00126,135,Approved
PO0000127,S0027,P00127,136,Received
PO0000128,S0028,P00128,137,Cancelled
PO0000129,S0029,P00129,138,Created
PO0000130,S0030,P00130,139,Approved
PO0000131,S0031,P00131,140,Received
PO0000132,S0032,P00132,141,Cancelled
PO0000133,S0033,P00133,142,Created
PO0000134,S0034,P00134,143,Approved
PO0000135,S0035,P00135,144,Received
PO0000136,S0036,P00136,145,Cancelled
PO0000137,S0037,P00137,146,Created
