supplier_id,supplier_name,location,country,lead_time_days,reliability_score
S0001,"Choudhury, Bakshi and Maharaj",Rajahmundry,India,12,0.73
S0002,Chaudry Ltd,Gudivada,India,13,0.78
S0003,Balay-Balan,Bellary,India,5,0.74
S0004,Tiwari PLC,Kishanganj,India,3,0.9
S0005,Saini and Sons,Giridih,India,10,0.73
S0006,Ahuja-Dutta,Mau,India,8,0.71
S0007,Dugal-Kale,Kota,India,3,0.76
S0008,Rai Inc,Hapur,India,10,0.87
S0009,"Lalla, Bassi and Sharaf",Burhanpur,India,10,0.76
S0010,Memon Ltd,Gangtok,India,12,0.9
S0011,Boase Inc,Ramagundam,India,8,0.76
S0012,Kaul Inc,Alwar,India,11,0.78
S0013,Patla-Gaba,Raichur,India,15,0.7
S0014,Loke Ltd,Narasaraopet,India,14,0.75
S0015,"Garg, Walla and Konda",Surendranagar Dudhrej,India,8,0.8
S0016,Madan-Kanda,Pimpri-Chinchwad,India,4,0.76
S0017,Balay LLC,Agartala,India,14,0.8
S0018,Kakar PLC,Rajpur Sonarpur,India,3,0.81
S0019,"Tata, Randhawa and Shanker",Bilaspur,India,7,0.95
S0020,Koshy Ltd,Bhimavaram,India,11,0.78
S0021,Rastogi-Pathak,Durgapur,India,2,0.91
S0022,"Tak, Chand and Batta",Jamnagar,India,10,0.74
S0023,"Dutta, Sami and Bhatt",Eluru,India,8,0.72
S0024,"Sidhu, Wadhwa and Krishnamurthy",Raipur,India,6,0.94
S0025,"Yadav, Loke and Oak",Durg,India,11,0.96
S0026,Dugar-Setty,Firozabad,India,7,0.87
S0027,"Gokhale, Tripathi and Cherian",Guna,India,13,0.72
S0028,"Issac, Dua and Prakash",Panvel,India,12,0.77
S0029,"Acharya, Naik and Suresh",Gorakhpur,India,6,0.99
S0030,Mohanty-Khatri,New Delhi,India,15,0.77
S0031,"Brar, Chada and Sunder",Katihar,India,3,0.81
S0032,Dave Ltd,Jamalpur,India,9,0.88
S0033,Lanka PLC,Rajpur Sonarpur,India,7,0.75
S0034,"Iyer, Muni and Rastogi",Bahraich,India,7,0.76
S0035,"Seth, Dara and Kota",Rajkot,India,6,0.9
S0036,Bail-Karpe,Chennai,India,12,0.89
S0037,Bhargava and Sons,Patna,India,11,0.88
S0038,Bobal-Varkey,Alwar,India,10,0.91
S0039,"Sunder, Kala and Zacharia",Aurangabad,India,4,0.83
S0040,"Solanki, Kibe and Solanki",Jhansi,India,6,0.99
S0041,Chatterjee Ltd,Raichur,India,12,0.9
S0042,Roy-Sibal,Navi Mumbai,India,5,0.9
S0043,Rau Ltd,Moradabad,India,15,0.92
S0044,Handa and Sons,Kolhapur,India,2,0.77
S0045,Goswami-Mallick,Kulti,India,2,0.93
S0046,Savant PLC,Dhanbad,India,8,0.78
S0047,"Zachariah, Aurora and Chander",Rourkela,India,5,0.96
S0048,Sunder-Srivastava,Rewa,India,11,0.95
S0049,Gala Group,Pali,India,7,0.76
S0050,Sha-Mangal,Miryalaguda,India,9,0.81
S0051,"Sur, Dubey and Gupta",Bellary,India,12,0.83
