inventory_id,product_id,warehouse_id,stock_quantity,reorder_level,safety_stock,inventory_date
I0000001,P00001,W007,981,168,79,2026-09-01
I0000002,P00002,W007,644,97,67,2026-09-01
I0000003,P00003,W007,405,57,70,2026-09-01
I0000004,P00004,W008,606,159,119,2026-09-01
I0000005,P00005,W001,721,104,72,2026-09-01
I0000006,P00006,W005,770,230,36,2026-09-01
I0000007,P00007,W010,104,254,67,2026-09-01
I0000008,P00008,W006,333,100,137,2026-09-01
I0000009,P00009,W002,268,221,145,2026-09-01
I0000010,P00010,W009,989,213,100,2026-09-01
I0000011,P00011,W010,397,206,120,2026-09-01
I0000012,P00012,W010,116,139,110,2026-09-01
I0000013,P00013,W008,632,94,96,2026-09-01
I0000014,P00014,W010,604,71,54,2026-09-01
I0000015,P00015,W006,120,111,98,2026-09-01
I0000016,P00016,W002,187,145,56,2026-09-01
I0000017,P00017,W009,397,157,55,2026-09-01
I0000018,P00018,W010,392,158,67,2026-09-01
I0000019,P00019,W008,650,187,64,2026-09-01
I0000020,P00020,W009,170,175,93,2026-09-01
I0000021,P00021,W003,191,130,135,2026-09-01
I0000022,P00022,W010,54,271,111,2026-09-01
I0000023,P00023,W001,496,84,69,2026-09-01
I0000024,P00024,W007,986,193,149,2026-09-01
I0000025,P00025,W008,418,225,145,2026-09-01
I0000026,P00026,W007,727,265,133,2026-09-01
I0000027,P00027,W008,171,71,27,2026-09-01
I0000028,P00028,W004,299,58,90,2026-09-01
I0000029,P00029,W004,550,123,63,2026-09-01
I0000030,P00030,W008,579,240,146,2026-09-01
I0000031,P00031,W009,523,78,49,2026-09-01
I0000032,P00032,W005,793,189,113,2026-09-01
I0000033,P00033,W009,842,243,30,2026-09-01
I0000034,P00034,W008,559,105,128,2026-09-01
I0000035,P00035,W002,753,262,83,2026-09-01
I0000036,P00036,W005,895,58,135,2026-09-01
I0000037,P00037,W005,356,270,42,2026-09-01
I0000038,P00038,W008,886,80,80,2026-09-01
I0000039,P00039,W004,830,238,109,2026-09-01
I0000040,P00040,W010,647,159,62,2026-09-01
I0000041,P00041,W010,142,250,72,2026-09-01
I0000042,P00042,W004,824,65,109,2026-09-01
I0000043,P00043,W009,287,202,63,2026-09-01
I0000044,P00044,W006,720,124,94,2026-09-01
I0000045,P00045,W010,273,293,44,2026-09-01
I0000046,P00046,W003,985,242,125,2026-09-01
I0000047,P00047,W001,283,271,52,2026-09-01
I0000048,P00048,W003,255,87,102,2026-09-01
I0000049,P00049,W004,779,265,120,2026-09-01
I0000050,P00050,W008,145,197,88,2026-09-01
I0000051,P00051,W007,384,165,39,2026-09-01
I0000052,P00052,W002,412,181,91,2026-09-01
I0000053,P00053,W006,465,293,144,2026-09-01
I0000054,P00054,W006,595,50,43,2026-09-01
I0000055,P00055,W008,650,220,111,2026-09-01
I0000056,P00056,W002,814,186,121,2026-09-01
I0000057,P00057,W004,991,159,74,2026-09-01
I0000058,P00058,W008,274,132,92,2026-09-01
I0000059,P00059,W006,560,197,53,2026-09-01
I0000060,P00060,W010,872,174,107,2026-09-01
I0000061,P00061,W001,47,75,137,2026-09-01
I0000062,P00062,W001,127,287,60,2026-09-01
I0000063,P00063,W008,467,50,129,2026-09-01
I0000064,P00064,W004,705,282,53,2026-09-01
I0000065,P00065,W005,162,273,90,2026-09-01
I0000066,P00066,W002,670,142,84,2026-09-01
I0000067,P00067,W002,380,220,62,2026-09-01
I0000068,P00068,W001,405,210,98,2026-09-01
I0000069,P00069,W004,439,217,43,2026-09-01
I0000070,P00070,W002,1,104,142,2026-09-01
I0000071,P00071,W002,135,201,77,2026-09-01
I0000072,P00072,W009,696,163,22,2026-09-01
I0000073,P00073,W001,712,137,50,2026-09-01
I0000074,P00074,W007,710,83,142,2026-09-01
I0000075,P00075,W002,234,148,42,2026-09-01
I0000076,P00076,W002,105,130,114,2026-09-01
I0000077,P00077,W005,140,147,54,2026-09-01
I0000078,P00078,W003,70,185,22,2026-09-01
I0000079,P00079,W010,665,92,132,2026-09-01
I0000080,P00080,W006,739,104,58,2026-09-01
I0000081,P00081,W007,630,225,133,2026-09-01
I0000082,P00082,W004,88,279,45,2026-09-01
I0000083,P00083,W003,770,81,118,2026-09-01
I0000084,P00084,W006,986,159,100,2026-09-01
I0000085,P00085,W003,253,120,41,2026-09-01
I0000086,P00086,W004,566,203,92,2026-09-01
I0000087,P00087,W001,868,266,97,2026-09-01
I0000088,P00088,W004,530,205,150,2026-09-01
I0000089,P00089,W004,765,150,95,2026-09-01
I0000090,P00090,W001,802,279,81,2026-09-01
I0000091,P00091,W008,395,78,81,2026-09-01
I0000092,P00092,W008,653,202,38,2026-09-01
I0000093,P00093,W009,910,300,23,2026-09-01
I0000094,P00094,W006,956,131,53,2026-09-01
I0000095,P00095,W007,881,264,127,2026-09-01
I0000096,P00096,W006,559,224,64,2026-09-01
I0000097,P00097,W008,977,247,38,2026-09-01
I0000098,P00098,W001,601,67,23,2026-09-01
I0000099,P00099,W005,220,60,35,2026-09-01
I0000100,P00100,W007,518,123,148,2026-09-01
I0000101,P00101,W007,433,229,122,2026-09-01
I0000102,P00102,W002,655,187,59,2026-09-01
I0000103,P00103,W005,85,129,40,2026-09-01
I0000104,P00104,W009,943,102,59,2026-09-01
I0000105,P00105,W009,334,150,36,2026-09-01
I0000106,P00106,W005,715,161,81,2026-09-01
I0000107,P00107,W001,250,72,131,2026-09-01
I0000108,P00108,W002,464,206,34,2026-09-01
I0000109,P00109,W005,682,239,64,2026-09-01
I0000110,P00110,W002,12,231,55,2026-09-01
I0000111,P00111,W001,167,177,108,2026-09-01
I0000112,P00112,W009,529,250,86,2026-09-01
I0000113,P00113,W003,380,82,88,2026-09-01
I0000114,P00114,W002,789,280,27,2026-09-01
I0000115,P00115,W006,826,159,89,2026-09-01
I0000116,P00116,W009,65,117,39,2026-09-01
I0000117,P00117,W008,466,180,112,2026-09-01
I0000118,P00118,W001,511,269,62,2026-09-01
I0000119,P00119,W006,161,115,46,2026-09-01
I0000120,P00120,W010,690,235,49,2026-09-01
I0000121,P00121,W004,758,180,20,2026-09-01
I0000122,P00122,W001,879,270,23,2026-09-01
I0000123,P00123,W004,47,170,113,2026-09-01
I0000124,P00124,W007,942,88,65,2026-09-01
I0000125,P00125,W001,566,255,127,2026-09-01
