order_id,customer_id,product_id,warehouse_id,order_date,quantity,unit_price,status,priority
O00000001,C004228,P00935,W006,2026-05-13,5,43068.7,Delivered,Medium
O00000002,C005321,P00465,W008,2025-09-25,11,39460.06,Pending,Low
O00000003,C007843,P00473,W003,2026-07-26,16,5733.06,Shipped,High
O00000004,C008323,P00106,W007,2025-12-26,20,28776.45,Pending,High
O00000005,C004950,P00546,W008,2026-03-22,18,32507.63,Delivered,Critical
O00000006,C008978,P00163,W008,2026-05-21,8,31081.65,Delivered,Low
O00000007,C009683,P00442,W007,2026-06-13,11,10491.08,Cancelled,High
O00000008,C002836,P00679,W002,2025-09-16,18,34737.24,Cancelled,Critical
O00000009,C007585,P00334,W009,2026-03-27,4,29648.94,Pending,Critical
O00000010,C006649,P00072,W010,2026-04-25,6,15470.98,Pending,Critical
O00000011,C001008,P00093,W004,2026-05-31,11,24765.33,Processing,Low
O00000012,C007422,P00545,W005,2026-01-29,5,33077.98,Delivered,Critical
O00000013,C005188,P00307,W010,2026-01-18,7,10362.52,Shipped,Critical
O00000014,C009548,P00009,W010,2026-06-09,12,49515.43,Cancelled,Critical
O00000015,C001023,P00379,W009,2026-05-10,5,42640.01,Pending,Low
O00000016,C005886,P00113,W005,2026-08-25,18,41055.59,Pending,Medium
O00000017,C006460,P00641,W006,2026-04-04,14,35140.87,Delivered,Critical
O00000018,C003461,P00679,W003,2026-01-26,13,21815.98,Delivered,Medium
O00000019,C005903,P00861,W007,2025-10-10,7,27815.54,Processing,High
O00000020,C001176,P00664,W001,2025-12-25,5,6800.44,Processing,Critical
O00000021,C002225,P00087,W003,2026-02-05,14,48751.25,Delivered,Critical
O00000022,C002946,P00466,W009,2026-04-26,20,46522.52,Delivered,Critical
O00000023,C003045,P00435,W010,2025-10-29,13,17829.83,Pending,Critical
O00000024,C004412,P00421,W009,2026-05-13,8,35635.29,Cancelled,High
O00000025,C009309,P00495,W006,2026-07-17,2,48913.85,Pending,Critical
O00000026,C008625,P00880,W005,2026-08-21,3,7190.17,Delivered,Low
O00000027,C001450,P00252,W008,2025-10-15,17,44506.78,Pending,High
O00000028,C005629,P00548,W001,2026-05-26,20,2733.44,Delivered,Critical
O00000029,C009404,P00752,W006,2025-09-29,17,45312.15,Delivered,High
O00000030,C000579,P00712,W010,2026-07-26,10,14531.5,Shipped,High
O00000031,C009473,P00174,W010,2026-04-14,2,31502.07,Pending,High
O00000032,C007943,P00085,W003,2025-11-25,20,1462.17,Cancelled,Low
O00000033,C004604,P00282,W005,2026-07-14,9,12677.34,Pending,Low
O00000034,C009696,P00757,W003,2026-05-22,20,8813.23,Delivered,High
O00000035,C003870,P00497,W003,2026-01-26,6,13136.5,Cancelled,Low
O00000036,C002377,P00610,W003,2026-03-28,11,49205.18,Delivered,Critical
O00000037,C007212,P00744,W003,2026-02-27,13,11973.58,Processing,High
O00000038,C001901,P00054,W003,2026-06-18,2,32148.83,Delivered,Critical
O00000039,C008725,P00240,W007,2026-01-18,16,15138.22,Delivered,Critical
O00000040,C007123,P00013,W005,2026-03-04,9,7342.98,Delivered,Critical
O00000041,C000673,P00100,W009,2025-12-15,11,48091.96,Shipped,Critical
O00000042,C004467,P00344,W005,2025-10-05,20,45910.3,Shipped,Low
O00000043,C006409,P00473,W004,2025-11-05,9,32751.73,Cancelled,Medium
O00000044,C002948,P00321,W009,2026-08-18,17,16936.59,Pending,Low
O00000045,C001601,P00538,W002,2025-11-06,3,696.87,Delivered,High
O00000046,C004128,P00198,W001,2026-06-04,8,36290.01,Pending,Low
O00000047,C003553,P00974,W010,2026-03-16,2,46931.42,Pending,Low
O00000048,C002129,P00385,W010,2026-03-02,3,42836.4,Processing,Low
O00000049,C007651,P00677,W002,2026-02-13,6,12741.45,Delivered,High
O00000050,C005299,P00264,W003,2026-03-07,14,34641.85,Pending,High
O00000051,C005451,P00062,W005,2025-09-04,2,19201.67,Shipped,Medium
O00000052,C003288,P00625,W007,2026-05-21,15,3562.98,Processing,Critical
O00000053,C007066,P00224,W010,2025-12-06,4,7279.24,Pending,Critical
O00000054,C001195,P00073,W010,2025-12-12,9,5254.03,Shipped,Critical
O00000055,C002439,P00669,W001,2025-12-28,1,44835.97,Pending,Critical
O00000056,C005404,P00927,W007,2026-08-25,9,7665.21,Cancelled,Low
O00000057,C008040,P00490,W007,2026-03-03,17,35409.52,Delivered,Low
O00000058,C006299,P00978,W008,2026-07-08,18,11369.76,Pending,High
O00000059,C006564,P00057,W002,2025-09-27,11,34123.6,Shipped,High
O00000060,C004751,P00664,W004,2026-03-28,3,42074.96,Processing,Low
O00000061,C004897,P00713,W007,2026-01-28,13,33070.63,Pending,High
O00000062,C007176,P00753,W004,2026-04-07,16,4334.64,Processing,Low
O00000063,C009715,P00245,W008,2025-12-24,7,1365.69,Delivered,Low
O00000064,C008187,P00547,W008,2026-05-14,18,32206.04,Pending,Low
O00000065,C000702,P00416,W002,2025-09-24,11,2897.12,Processing,Critical
O00000066,C009493,P00239,W002,2025-11-27,18,7532.79,Pending,Medium
O00000067,C007721,P00929,W010,2026-08-13,16,32726.19,Pending,Medium
O00000068,C000819,P00927,W005,2026-04-22,5,816.82,Pending,Critical
O00000069,C009684,P00066,W002,2025-09-20,20,8617.4,Pending,Critical
O00000070,C003614,P00065,W004,2025-12-07,20,39978.84,Delivered,High
O00000071,C009437,P00559,W003,2025-09-14,13,16279.32,Shipped,Medium
O00000072,C005497,P00065,W002,2026-03-28,2,29694.95,Shipped,Medium
O00000073,C006061,P00567,W003,2025-09-20,14,8485.74,Delivered,Medium
O00000074,C001638,P00811,W010,2026-03-16,19,2130.87,Delivered,Medium
O00000075,C001323,P00007,W001,2026-08-21,1,43993.38,Processing,Low
O00000076,C006820,P00711,W008,2026-02-05,19,44357.07,Processing,Medium
O00000077,C008571,P00462,W007,2025-10-24,5,32027.3,Processing,Medium
O00000078,C009770,P00185,W008,2026-06-03,20,34614.51,Cancelled,Low
O00000079,C000075,P00572,W004,2026-06-11,10,17457.89,Processing,Low
O00000080,C005930,P00884,W009,2026-03-21,17,48841.89,Cancelled,Medium
O00000081,C003410,P00284,W001,2026-06-22,15,38539.53,Processing,Low
O00000082,C007773,P00510,W003,2026-07-08,5,34293.66,Processing,Low
O00000083,C004671,P00215,W007,2026-06-04,2,32278.56,Shipped,High
O00000084,C007425,P00045,W002,2025-11-28,20,40277.17,Pending,Medium
O00000085,C007948,P00528,W002,2026-01-01,6,39296.05,Pending,Medium
O00000086,C005341,P00430,W004,2026-06-09,15,29676.06,Shipped,Medium
O00000087,C001607,P00243,W007,2026-05-30,4,16374.0,Processing,Critical
O00000088,C009587,P00497,W001,2026-01-05,8,3769.13,Delivered,Medium
O00000089,C007455,P00183,W007,2026-05-04,7,46401.57,Shipped,Medium
O00000090,C005876,P00999,W005,2026-03-06,15,36019.08,Processing,High
O00000091,C009318,P00062,W005,2025-10-09,5,1701.52,Processing,Low
O00000092,C002805,P00779,W006,2025-12-18,15,22983.09,Processing,High
O00000093,C002785,P00592,W009,2025-11-10,20,7923.73,Processing,Low
O00000094,C008016,P00883,W004,2026-02-28,14,42862.99,Cancelled,Critical
O00000095,C007015,P00754,W004,2025-09-12,15,14030.63,Processing,High
O00000096,C009696,P00969,W003,2026-04-15,14,29015.4,Cancelled,Low
O00000097,C000657,P00482,W009,2025-11-23,14,49011.18,Pending,Critical
O00000098,C001606,P00464,W008,2026-08-24,17,19776.58,Processing,Low
O00000099,C006663,P00973,W004,2025-10-02,18,37678.63,Processing,High
O00000100,C001487,P00017,W008,2026-04-19,10,12029.21,Shipped,Medium
O00000101,C009563,P00025,W008,2025-10-02,15,42910.31,Delivered,Medium
O00000102,C006069,P00642,W008,2026-06-09,13,9328.79,Pending,Low
O00000103,C005455,P00544,W001,2025-11-09,13,44682.38,Shipped,Critical
O00000104,C008888,P00590,W004,2026-08-27,9,34932.94,Pending,High
O00000105,C005964,P00910,W001,2026-05-31,2,25785.35,Pending,Critical
O00000106,C000670,P00375,W006,2025-09-24,12,23321.11,Processing,Low
O00000107,C003355,P00142,W006,2025-10-28,18,35495.92,Processing,Low
O00000108,C009505,P00893,W004,2026-01-08,16,36895.27,Processing,High
O00000109,C008251,P00697,W007,2026-07-02,12,44906.86,Shipped,Low
O00000110,C007413,P00498,W009,2026-05-12,3,18703.41,Cancelled,Low
O00000111,C008731,P00922,W005,2026-04-14,16,35520.28,Delivered,High
O00000112,C007502,P00090,W002,2026-07-13,3,9498.84,Delivered,Medium
O00000113,C001261,P00112,W003,2026-01-08,10,47917.0,Shipped,Low
O00000114,C003347,P00534,W001,2025-11-27,5,24866.8,Shipped,Critical
O00000115,C007765,P00356,W007,2026-01-08,18,46592.9,Delivered,Low
O00000116,C000362,P00893,W004,2025-11-22,10,9534.13,Cancelled,High
O00000117,C005347,P00498,W010,2026-05-02,14,28977.36,Cancelled,Critical
O00000118,C002162,P00920,W005,2025-10-22,15,15273.71,Processing,High
O00000119,C004721,P00789,W001,2026-06-06,8,24263.73,Processing,High
O00000120,C002726,P00634,W003,2025-12-20,10,22850.73,Cancelled,High
O00000121,C002515,P00166,W004,2025-10-16,6,48662.98,Pending,Low
O00000122,C007224,P00267,W006,2025-11-02,11,28768.81,Processing,Medium
O00000123,C005193,P00353,W003,2026-08-01,18,35386.01,Shipped,Critical
O00000124,C008744,P00309,W002,2026-02-11,18,48775.74,Pending,Critical
O00000125,C007505,P00951,W006,2026-02-07,16,38449.06,Processing,Low
O00000126,C005428,P00663,W005,2026-02-03,18,48782.49,Delivered,High
O00000127,C009261,P00747,W008,2026-05-28,19,33377.7,Shipped,Low
O00000128,C002285,P00695,W009,2025-11-08,16,45018.71,Pending,High
O00000129,C003611,P00457,W006,2026-05-13,1,20141.33,Pending,High
O00000130,C003198,P00598,W009,2025-09-17,2,30446.75,Processing,High
O00000131,C008822,P00870,W008,2026-02-12,7,1225.18,Pending,Critical
O00000132,C009883,P00620,W009,2026-04-06,7,24574.22,Pending,High
O00000133,C007007,P00379,W007,2026-08-12,13,7482.5,Shipped,Low
O00000134,C005048,P00457,W009,2026-01-04,10,17311.52,Pending,Medium
O00000135,C006810,P00823,W008,2026-01-30,15,37102.23,Shipped,Medium
O00000136,C006787,P00143,W010,2026-02-07,14,36457.42,Cancelled,Low
O00000137,C007777,P00889,W009,2026-06-30,5,10468.41,Shipped,Low
O00000138,C001450,P00007,W007,2026-06-21,19,37830.09,Shipped,Critical
O00000139,C009305,P00774,W003,2026-08-22,6,27835.11,Processing,Medium
O00000140,C008038,P00044,W005,2026-06-22,13,14544.21,Cancelled,High
O00000141,C007594,P00230,W001,2025-09-16,16,28008.12,Pending,Medium
O00000142,C007743,P00128,W005,2026-07-24,9,15078.45,Delivered,Medium
O00000143,C004010,P00030,W002,2026-08-02,16,45348.98,Shipped,Critical
O00000144,C005928,P00596,W008,2026-06-19,3,29984.68,Cancelled,Critical
O00000145,C007800,P00998,W002,2026-04-26,9,31437.0,Shipped,Low
O00000146,C000959,P00150,W006,2025-09-01,9,8226.08,Delivered,Medium
O00000147,C004468,P00370,W007,2026-06-01,12,8249.11,Shipped,Low
O00000148,C001259,P00527,W004,2025-10-29,10,14654.04,Processing,Low
O00000149,C008909,P00331,W006,2026-03-19,20,37656.16,Shipped,High
O00000150,C009504,P00361,W003,2026-03-31,12,4882.09,Pending,Medium
O00000151,C007945,P00422,W006,2026-01-06,17,14142.75,Processing,Low
O00000152,C003623,P00852,W004,2026-07-05,7,7812.29,Cancelled,Low
O00000153,C001252,P00120,W003,2025-12-26,14,23078.52,Pending,Critical
O00000154,C005941,P00143,W008,2025-09-26,12,15647.52,Cancelled,High
O00000155,C000472,P00763,W002,2025-09-27,6,35523.75,Processing,Medium
O00000156,C005037,P00129,W004,2026-07-20,5,34433.55,Processing,Low
O00000157,C001831,P00080,W001,2025-09-29,14,34571.83,Delivered,Critical
O00000158,C000538,P00813,W009,2026-06-04,2,9897.91,Cancelled,Low
O00000159,C004146,P00045,W002,2025-10-16,16,6034.22,Shipped,Low
O00000160,C009860,P00211,W010,2026-05-05,4,39140.3,Processing,Medium
O00000161,C002385,P00867,W005,2025-10-21,12,1560.03,Cancelled,High
O00000162,C008203,P00800,W010,2025-09-11,12,8111.81,Processing,Low
O00000163,C000230,P00542,W004,2025-10-04,4,40997.37,Processing,High
O00000164,C008801,P00005,W002,2026-01-17,6,45092.85,Processing,Critical
O00000165,C003034,P00451,W002,2025-09-13,12,34936.83,Processing,High
O00000166,C008426,P00234,W007,2025-10-30,13,21262.18,Pending,High
O00000167,C008516,P00140,W008,2026-06-30,4,23348.49,Shipped,High
O00000168,C001348,P00336,W008,2026-01-23,18,36134.61,Pending,Critical
O00000169,C005112,P00704,W008,2026-08-06,10,22901.59,Processing,Critical
O00000170,C007012,P00194,W002,2025-10-04,10,49249.62,Delivered,High
O00000171,C008056,P00689,W002,2026-07-31,6,738.01,Delivered,Critical
O00000172,C001393,P00123,W003,2026-07-28,17,32961.56,Delivered,Critical
O00000173,C002765,P00067,W006,2026-01-08,19,48880.79,Processing,High
O00000174,C006624,P00126,W004,2026-01-21,7,29788.55,Delivered,Critical
O00000175,C009535,P00608,W005,2026-08-04,9,38264.37,Delivered,High
O00000176,C006627,P00497,W009,2026-07-05,16,33367.18,Shipped,Medium
O00000177,C004108,P00502,W008,2025-12-07,15,5491.03,Processing,Medium
O00000178,C000866,P00851,W002,2026-06-06,1,5070.21,Delivered,Low
O00000179,C005357,P00157,W005,2025-10-28,6,19193.39,Cancelled,Low
O00000180,C008519,P00786,W008,2026-02-27,3,33087.92,Delivered,Medium
O00000181,C008033,P00517,W005,2026-08-26,10,33138.45,Cancelled,High
O00000182,C000518,P00441,W002,2026-05-26,18,27376.34,Delivered,Critical
O00000183,C007251,P00471,W001,2026-02-20,11,42658.43,Pending,Medium
O00000184,C004966,P00906,W003,2026-05-18,18,33004.61,Delivered,Critical
O00000185,C006375,P00500,W002,2026-08-10,5,15691.74,Cancelled,Critical
O00000186,C009376,P00482,W008,2025-10-05,18,34300.17,Cancelled,Medium
O00000187,C004316,P00507,W010,2026-05-08,17,2881.28,Delivered,High
O00000188,C000462,P00605,W001,2025-12-15,10,16092.09,Processing,High
O00000189,C009568,P00028,W006,2025-09-25,12,40496.72,Delivered,Low
O00000190,C005856,P00422,W006,2026-08-12,14,17322.64,Pending,Medium
O00000191,C005114,P00607,W002,2025-09-20,8,11807.64,Pending,High
O00000192,C000323,P00552,W006,2025-12-30,4,16945.95,Pending,Critical
O00000193,C006901,P00274,W001,2026-08-22,14,28445.67,Delivered,Low
O00000194,C006395,P00331,W010,2026-01-16,11,18949.11,Pending,Critical
O00000195,C003374,P00345,W008,2025-10-22,4,34574.11,Cancelled,High
O00000196,C005953,P00993,W007,2026-08-05,6,30779.91,Processing,Critical
O00000197,C008780,P00220,W005,2026-03-21,3,42034.99,Shipped,Low
O00000198,C006587,P00824,W004,2026-03-27,10,49811.76,Cancelled,Low
O00000199,C005519,P00280,W002,2026-03-02,19,4827.21,Cancelled,Critical
O00000200,C001257,P00668,W005,2026-02-04,14,10565.98,Cancelled,High
O00000201,C005134,P00205,W007,2025-12-21,14,33206.49,Delivered,High
O00000202,C008972,P00185,W001,2026-06-10,20,25816.92,Cancelled,Medium
O00000203,C007657,P00275,W009,2026-02-14,19,25010.26,Cancelled,Critical
O00000204,C000982,P00535,W004,2026-03-15,19,36358.09,Shipped,Critical
O00000205,C004920,P00865,W007,2026-08-31,5,12094.66,Delivered,High
O00000206,C006758,P00274,W005,2026-03-17,3,31732.98,Processing,High
O00000207,C003908,P00117,W003,2025-09-08,20,11882.88,Processing,Low
O00000208,C005088,P00476,W008,2026-07-10,8,39872.53,Cancelled,Critical
O00000209,C000607,P00207,W003,2026-07-31,14,32381.41,Shipped,Medium
O00000210,C004552,P00675,W009,2026-04-28,1,12994.0,Processing,Low
O00000211,C000907,P00881,W002,2025-09-09,16,39133.46,Shipped,High
O00000212,C006669,P00919,W006,2026-06-01,3,45038.69,Pending,Critical
O00000213,C009355,P00753,W009,2026-05-23,5,11878.45,Pending,High
O00000214,C003901,P00615,W002,2025-12-06,16,44239.79,Shipped,High
O00000215,C003866,P00958,W007,2026-08-26,19,36888.09,Processing,Medium
O00000216,C004499,P00451,W007,2026-04-30,4,8840.2,Shipped,Low
O00000217,C001851,P00325,W009,2026-05-27,16,26720.15,Delivered,Critical
O00000218,C002375,P00372,W008,2026-01-02,8,48169.44,Shipped,High
O00000219,C009926,P00036,W001,2025-10-30,1,32305.34,Processing,High
O00000220,C005946,P00925,W002,2026-01-25,18,19296.04,Cancelled,Medium
O00000221,C006439,P00950,W005,2025-09-10,15,19484.7,Shipped,Low
O00000222,C002626,P00938,W008,2026-01-08,8,14941.4,Shipped,Critical
